TITLE = " "
VARIABLES = "x" "y" "f"
ZONE T="hsample", I=    5, J=    1, K=    1, F=BLOCK
     0.03490659     0.06632251     0.06632251     0.00349066     0.00349066
     0.80000000     0.89000000     0.71000000     0.89000000     0.71000000
     0.37859093     0.50214682     0.58841056     0.04766353     0.06282879
